"e0_T_j2","e0_p_j2","e0_F_j1","e0_x_i1_j1","e0_x_i2_j1","e0_x_i3_j1","e0_x_i4_j1","e0_x_i5_j1","e0_x_i6_j1","e0_x_i1_j2","e0_x_i2_j2","e0_x_i3_j2","e0_x_i4_j2","e0_x_i5_j2","e0_x_i6_j2","e0_x_i7_j2"
473.150000,10.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.215714,0.562805,0.030895,0.011243,0.186306,0.002370,0.006317
483.150000,10.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.206768,0.541909,0.038442,0.012496,0.176987,0.003029,0.006945
493.150000,10.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.211881,0.550324,0.037177,0.016295,0.169062,0.003084,0.005732
473.150000,20.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.210602,0.563620,0.031000,0.011270,0.175951,0.002389,0.005791
483.150000,20.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.209052,0.550613,0.041270,0.011490,0.175877,0.003632,0.008512
493.150000,20.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.204282,0.540391,0.050914,0.011939,0.167574,0.004665,0.011188
473.150000,30.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.204999,0.583542,0.029896,0.012081,0.175078,0.002202,0.005148
483.150000,30.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.208192,0.528738,0.040701,0.011744,0.175968,0.003592,0.008616
493.150000,30.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.202545,0.536269,0.050995,0.011190,0.171296,0.004938,0.011975
473.150000,40.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.207474,0.567119,0.029623,0.012384,0.180709,0.002049,0.004795
483.150000,40.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.207758,0.573229,0.039422,0.011678,0.182224,0.003255,0.008008
493.150000,40.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.210773,0.524626,0.052677,0.011156,0.171217,0.005065,0.011951
473.150000,50.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.195750,0.563693,0.027578,0.012952,0.172192,0.001926,0.004258
483.150000,50.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.199841,0.554404,0.038476,0.012003,0.182996,0.003296,0.007555
493.150000,50.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.221289,0.537914,0.052074,0.011455,0.165604,0.005012,0.012368
473.150000,60.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.196605,0.569325,0.026872,0.013336,0.174418,0.001851,0.003931
483.150000,60.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.212178,0.555708,0.036623,0.012954,0.182503,0.003103,0.007502
493.150000,60.000000,1.000000,0.200000,0.600000,0.000000,0.000000,0.200000,0.000000,0.220046,0.537886,0.050068,0.012072,0.171748,0.005011,0.011779
